publication_week,entity,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance
2026-01-26/2026-02-01,Dáil,17,10,12.624,1053594,-0.654
2026-01-26/2026-02-01,Fianna Fáil,3,3,2.168,179349,-0.361
2026-01-26/2026-02-01,Fine Gael,2,2,1.423,120850,-0.542
2026-01-26/2026-02-01,Government,46,31,33.522,3974369,-0.433
2026-01-26/2026-02-01,Helen McEntee,26,17,18.85,1680467,-0.569
2026-01-26/2026-02-01,Micheál Martin,19,11,14.895,1798511,-0.593
2026-01-26/2026-02-01,Palestine,1,1,0.743,55850,-0.583
2026-01-26/2026-02-01,Russia,20,13,14.654,1512511,-0.581
2026-01-26/2026-02-01,Simon Harris,1,1,0.78,55000,-0.5
2026-01-26/2026-02-01,Sinn Féin,8,7,6.387,776636,-0.454
2026-01-26/2026-02-01,Triple Lock,2,2,1.418,210573,-0.72
2026-01-26/2026-02-01,UN,1,1,0.743,55850,-0.583
2026-01-26/2026-02-01,UN Security Council,23,16,16.988,1518594,-0.57
2026-01-26/2026-02-01,Ukraine,6,6,4.388,1356635,-0.171
2026-01-26/2026-02-01,United States,16,9,11.794,1253511,-0.594
2026-01-26/2026-02-01,Volodymyr Zelenskiy,1,1,0.675,154723,-0.857
2026-02-02/2026-02-08,Cabinet,1,1,0.747,63027,-0.875
2026-02-02/2026-02-08,Defence Forces,5,3,4.337,243821,-0.298
2026-02-02/2026-02-08,Donald Trump,6,4,5.367,304673,-0.205
2026-02-02/2026-02-08,Dáil,4,3,3.234,295264,-0.382
2026-02-02/2026-02-08,EU,2,2,1.568,124844,-0.144
2026-02-02/2026-02-08,Fianna Fáil,2,2,1.591,99867,-0.454
2026-02-02/2026-02-08,Fine Gael,1,1,0.742,54867,-0.909
2026-02-02/2026-02-08,Gaza,3,2,2.237,181792,0.0
2026-02-02/2026-02-08,Government,12,10,10.017,973493,-0.179
2026-02-02/2026-02-08,Micheál Martin,4,2,3.59,180794,-0.154
2026-02-02/2026-02-08,NATO,5,4,4.038,790289,-0.239
2026-02-02/2026-02-08,Palestine,6,4,4.768,334611,-0.205
2026-02-02/2026-02-08,Russia,5,4,4.085,521686,-0.428
2026-02-02/2026-02-08,Shannon Airport,2,2,1.686,482673,-0.686
2026-02-02/2026-02-08,Sinn Féin,1,1,0.742,54867,-0.909
2026-02-02/2026-02-08,Triple Lock,2,2,1.489,117894,-0.892
2026-02-02/2026-02-08,UN,1,1,0.742,54867,-0.909
2026-02-02/2026-02-08,UN Security Council,1,1,0.742,54867,-0.909
2026-02-02/2026-02-08,US military,3,3,2.508,545095,-0.661
2026-02-02/2026-02-08,Ukraine,6,4,4.768,334611,-0.205
2026-02-02/2026-02-08,United States,4,3,3.199,208291,-0.524
2026-02-09/2026-02-15,Cabinet,7,6,5.487,1043000,0.0
2026-02-09/2026-02-15,Defence Forces,3,3,2.517,169802,-0.129
2026-02-09/2026-02-15,Donald Trump,3,3,1.794,111231,-0.425
2026-02-09/2026-02-15,Dáil,16,9,12.352,1326365,0.018
2026-02-09/2026-02-15,Fianna Fáil,3,3,2.442,175621,0.094
2026-02-09/2026-02-15,Fine Gael,2,2,1.701,122276,0.334
2026-02-09/2026-02-15,Gaza,1,1,0.744,58498,0.0
2026-02-09/2026-02-15,Government,32,23,24.179,3471891,-0.04
2026-02-09/2026-02-15,Israel,2,2,0.979,58498,-0.444
2026-02-09/2026-02-15,Labour Party,1,1,0.746,60819,0.0
2026-02-09/2026-02-15,Mary Lou McDonald,1,1,0.955,61457,0.667
2026-02-09/2026-02-15,Micheál Martin,1,1,0.939,409767,0.0
2026-02-09/2026-02-15,NATO,3,3,2.685,806690,0.0
2026-02-09/2026-02-15,People Before Profit,2,2,1.49,119317,0.0
2026-02-09/2026-02-15,Russia,18,11,14.116,1946811,0.016
2026-02-09/2026-02-15,Shannon Airport,1,1,0.235,0,-0.889
