publication_week,entity,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance
2026-04-13/2026-04-19,Ukraine,2,2,2.009,826601,-0.444
2026-04-20/2026-04-26,Defence Forces,3,3,3.02,880991,-0.25
2026-04-20/2026-04-26,Dáil,2,2,1.988,471224,-0.375
2026-04-20/2026-04-26,EU,1,1,0.939,416834,0.0
2026-04-20/2026-04-26,Gaza,2,2,1.971,826601,-0.25
2026-04-20/2026-04-26,Government,3,3,2.927,888058,-0.25
2026-04-20/2026-04-26,Israel,3,3,2.927,888058,-0.25
2026-04-20/2026-04-26,Micheál Martin,2,2,2.0,261457,-0.125
2026-04-20/2026-04-26,NATO,1,1,0.609,1500,0.0
2026-04-20/2026-04-26,People Before Profit,1,1,0.811,129000,0.0
2026-04-20/2026-04-26,Russia,2,2,1.988,471224,-0.375
2026-04-20/2026-04-26,Sinn Féin,3,3,2.889,745834,0.0
2026-04-20/2026-04-26,Triple Lock,1,1,0.955,61457,-0.25
2026-04-20/2026-04-26,UN Security Council,2,2,1.988,471224,-0.375
2026-04-20/2026-04-26,Ukraine,1,1,0.955,61457,-0.25
2026-04-27/2026-05-03,Defence Forces,1,1,0.939,409767,-0.95
2026-04-27/2026-05-03,Donald Trump,2,2,1.916,833668,0.0
2026-04-27/2026-05-03,Dáil,2,2,1.718,464864,-0.892
2026-04-27/2026-05-03,Fianna Fáil,1,1,0.977,416834,0.0
2026-04-27/2026-05-03,Gaza,1,1,0.78,55097,-0.833
2026-04-27/2026-05-03,Government,5,5,3.999,630033,-0.227
2026-04-27/2026-05-03,Israel,1,1,0.939,416834,0.0
2026-04-27/2026-05-03,Lelia Doolan,1,1,0.78,55097,-0.833
2026-04-27/2026-05-03,Micheál Martin,1,1,0.78,55097,-0.833
2026-04-27/2026-05-03,NATO,2,2,1.878,826601,-0.475
2026-04-27/2026-05-03,Palestine,1,1,0.78,55097,-0.833
2026-04-27/2026-05-03,Russia,2,2,1.915,826601,-0.475
2026-04-27/2026-05-03,Sergiy Kyslytsya,1,1,0.977,416834,0.0
2026-04-27/2026-05-03,Shannon Airport,1,1,0.78,55097,-0.833
2026-04-27/2026-05-03,Sinn Féin,1,1,0.786,65000,0.0
2026-04-27/2026-05-03,UN,1,1,0.977,416834,0.0
2026-04-27/2026-05-03,UN Security Council,2,2,1.915,826601,-0.475
2026-04-27/2026-05-03,US military,1,1,0.78,55097,-0.833
2026-04-27/2026-05-03,Ukraine,3,3,2.825,928291,0.108
2026-04-27/2026-05-03,United States,1,1,0.939,416834,0.0
2026-04-27/2026-05-03,Volodymyr Zelenskiy,1,1,0.977,416834,0.0
2026-05-04/2026-05-10,Cabinet,1,1,1.033,419627,0.0
2026-05-04/2026-05-10,Colm McCarthy,1,1,1.033,419627,0.0
2026-05-04/2026-05-10,Donald Trump,2,2,1.704,421127,-0.334
2026-05-04/2026-05-10,Dáil,1,1,1.074,409767,-0.667
2026-05-04/2026-05-10,Fianna Fáil,2,2,2.148,826601,-0.09
2026-05-04/2026-05-10,Gaza,1,1,0.784,62560,-0.667
2026-05-04/2026-05-10,Government,4,4,3.945,1141344,-0.212
2026-05-04/2026-05-10,Kathy Sheridan,1,1,1.074,416834,0.488
2026-05-04/2026-05-10,Labour Party,1,1,0.67,1500,-0.667
2026-05-04/2026-05-10,Micheál Martin,2,2,2.148,826601,-0.09
2026-05-04/2026-05-10,NATO,4,4,3.963,1304155,-0.045
2026-05-04/2026-05-10,Quakers,1,1,0.784,62560,-0.667
2026-05-04/2026-05-10,Russia,1,1,1.074,416834,0.488
2026-05-04/2026-05-10,Sergiy Kyslytsya,1,1,1.074,416834,0.488
2026-05-04/2026-05-10,Sinn Féin,1,1,1.013,252183,0.0
2026-05-04/2026-05-10,US military,1,1,1.074,409767,-0.667
2026-05-04/2026-05-10,Ukraine,2,2,1.859,479394,-0.09
2026-05-04/2026-05-10,United States,1,1,1.074,416834,0.488
2026-05-04/2026-05-10,Volodymyr Zelenskiy,1,1,1.074,416834,0.488
