Outlet,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,avg_sentiment,top_cluster,top_frame,top_tier,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,impact_score,share_of_voice,entity_type,stance_label,narrative_role,actor_type,entity_group
Newstalk,6,2,6.035955857103781,4312335,-0.1111666666666666,-0.05,Ukraine war and moral neutrality,Other Neutrality Debate,Top,Newstalk - Neutrality,https://www.newstalk.com/news/richard-boyd-barrett-i-dont-think-we-should-go-to-the-st-patricks-day-celebration-2243739,0.1388888888888889,0.0277777777777777,0.1610520126269638,0.2796067369614632,16.4,0.0102554249154618,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
98FM,10,1,9.431668244528549,1680000,-0.0857,0.0349999999999999,Sinn Féin and government neutrality clash,Other Neutrality Debate,Top,98FM - Neutrality,,0.25,0.0,0.25532721963916,0.1089292269954116,16.3,0.0160249292405726,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Belfast Telegraph,7,7,6.80325795688826,1819683,-0.4458571428571428,-0.0928571428571428,Defence capability and security gaps,Other Neutrality Debate,Top,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,https://www.belfasttelegraph.co.uk/news/republic-of-ireland/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport/a/145873110.html,0.1666666666666666,0.1666666666666666,0.1823546307656377,0.1179861086706497,15.9,0.011559113885048,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Galway Talks,13,1,9.257400758091178,845000,-0.2749230769230769,0.2269230769230769,Triple Lock and UN mandate debate,Other Neutrality Debate,Bottom,Galway Talks - Neutrality,,0.3333333333333333,0.0,0.2504890291551192,0.0547888076256683,15.7,0.0157288390827459,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Kerry Today,12,1,8.690158331066028,996000,0.0069166666666666,0.1916666666666666,Ukraine war and moral neutrality,Other Neutrality Debate,Bottom,Kerry Today - Neutrality,,0.3055555555555555,0.0,0.2347406703035462,0.0645794702901368,15.0,0.0147650626309393,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Leinster Express,9,8,6.769034870145035,518994,-0.4154444444444445,0.2166666666666666,Shannon Airport and US military use,Shannon / US Military / Anti-war,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://leinsterexpress.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.2222222222222222,0.1944444444444444,0.1814044947649381,0.0336509614495575,14.8,0.0115009669560811,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The University Times,8,8,6.354785334791217,499376,-0.253375,-0.125,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,"Ireland’s Defence Gap: Neutrality, Without Capability",https://universitytimes.ie/2026/03/irelands-defence-gap-neutrality-without-capability,0.1944444444444444,0.1944444444444444,0.1699036795472499,0.0323789533690837,14.0,0.0107971339416156,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Midlands Today,11,1,7.571730608236723,880000,-0.4034545454545455,-0.0863636363636363,Sinn Féin and government neutrality clash,Other Neutrality Debate,Bottom,Midlands Today - Neutrality,,0.2777777777777777,0.0,0.20368974694255,0.057058166521406,13.2,0.0128647916868853,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Waterford News & Star,8,7,6.051185285793376,503768,-0.15475,0.1625,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,Mid,"Irish neutrality should be put to a public vote, say Sinn Féin - Homepage - Waterford News & Star",https://waterford-news.ie/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html,0.1944444444444444,0.1666666666666666,0.1614748274530091,0.032663725491086,13.1,0.0102813005623566,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Kilkenny People,8,7,6.088216982839708,502968,-0.46525,0.1625,Defence capability and security gaps,Other Neutrality Debate,Mid,‘Dangerous development’ - Kilkenny MEP warns against EU proposal,https://www.kilkennypeople.ie/news/politics/2063053/dangerous-development-kilkenny-mep-warns-against-eu-proposal.html,0.1944444444444444,0.1666666666666666,0.1625029389379466,0.032611854430612,13.1,0.0103442194765339,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
