Outlet,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,avg_sentiment,top_cluster,top_frame,top_tier,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,impact_score,share_of_voice,entity_type,stance_label,narrative_role,actor_type,entity_group
Kildare Now,4,4,3.09032572863911,303024,-0.53075,0.0,Defence capability and security gaps,Other Neutrality Debate,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,https://www.kildarenow.com/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0833333333333333,0.0833333333333333,0.0792724452022413,0.0196477202863438,6.4,0.0052506353963935,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
The Mail on Sunday (Ireland),3,2,2.8190349805624164,1268985,-0.3333333333333333,0.0,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Top,Who is most likely to join Middle East war?,https://dailymail.co.uk/news/article-15664053/Who-likely-join-Middle-East-war-Likelihood-countries-militant-groups-taking-arms-Tehran-pounds-oil-facilities-spreads-terror-region.html,0.0555555555555555,0.0277777777777777,0.0717405966481239,0.0822794970945073,6.4,0.0047896973174834,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Donegal News,4,4,3.1188130324222936,222132,-0.58325,0.1625,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,In pictures: Deputy Padraig MacLochlainn addresses the Drumboe Easter Commemoration - Donegal News,https://donegalnews.com/in-pictures-deputy-padraig-maclochlainn-addresses-the-drumboe-easter-commemoration,0.0833333333333333,0.0833333333333333,0.0800633385862996,0.0144027780065147,6.3,0.0052990369109024,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Offaly Express,4,4,3.0632843698121945,252212,-0.414,0.0,Defence capability and security gaps,Other Neutrality Debate,Mid,"Fuel demonstrations prove protests ‘effective’, say neutrality campaigners",http://offalyexpress.ie/news/national-news/2062602/fuel-demonstrations-prove-protests-effective-say-neutrality-campaigners.html,0.0833333333333333,0.0833333333333333,0.0785216956067399,0.0163531298803373,6.3,0.0052046906228354,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Cork Live,4,4,3.0469683706286688,225772,-0.52075,0.0875,Defence capability and security gaps,Other Neutrality Debate,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,https://www.corklive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0833333333333333,0.0833333333333333,0.0780687143099922,0.0146387913316714,6.2,0.0051769688322013,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Dublin Live,4,4,2.977237087981844,233992,-0.41675,0.0875,Defence capability and security gaps,Other Neutrality Debate,Mid,'Dublin Central left win could could help end century of FF and FG government',https://www.dublinlive.ie/news/news-opinion/a-left-win-dublin-central-33587775,0.0833333333333333,0.0833333333333333,0.0761327638063216,0.0151717664780418,6.2,0.0050584915022848,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Kildare Nationalist,4,4,3.012101923635569,229844,-0.17525,-0.1625,Defence capability and security gaps,Defence Capability / Underinvestment,Mid,"Irish neutrality should be put to a public vote, say Sinn Féin - News - Kildare Nationalist",https://kildare-nationalist.ie/news/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html,0.0833333333333333,0.0833333333333333,0.077100716690339,0.0149028150294841,6.2,0.0051177287983654,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Carlow Nationalist,4,4,3.014603544232552,233780,-0.17525,-0.1625,Defence capability and security gaps,Defence Capability / Underinvestment,Mid,"Irish neutrality should be put to a public vote, say Sinn Féin - National News - Carlow Nationalist",https://carlow-nationalist.ie/news/national-news/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html,0.0833333333333333,0.0833333333333333,0.0771701692153879,0.0151580206470162,6.2,0.0051219791909804,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Limerick Leader,4,4,3.038025936340638,212476,-0.528,0.0,Defence capability and security gaps,Other Neutrality Debate,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,https://limerickleader.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0833333333333333,0.0833333333333333,0.0778204453909816,0.0137766943065934,6.2,0.0051617751386797,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Limerick Today,5,1,3.467434821858074,460000,-0.1116,-0.2,Ukraine war and moral neutrality,Other Neutrality Debate,Bottom,Limerick Today - Neutrality,,0.1111111111111111,0.0,0.0897421298436904,0.0298258597725531,5.8,0.0058913647327245,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The 9-11 Show,5,1,3.5075986418105987,275000,0.065,0.13,Defence capability and security gaps,Other Neutrality Debate,Bottom,The 9-11 Show - Neutrality,,0.1111111111111111,0.0,0.0908571984974572,0.0178306770379394,5.5,0.0059596052980289,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Sunshine 106.8 FM,4,1,3.6705448867249126,336000,-0.54175,0.325,Ukraine war and moral neutrality,Other Neutrality Debate,Top,Sunshine 106.8 FM - Neutrality,,0.0833333333333333,0.0,0.0953810772063978,0.0217858453990823,5.4,0.0062364600364558,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
GalwayBeo,4,2,2.9641339663801274,214080,-0.4645,0.0,Shannon Airport and US military use,Shannon / US Military / Anti-war,Mid,The 91-year-old Galway woman who walked from west of Ireland to Dail to protest,https://www.galwaybeo.ie/news/ireland-news/meet-91-year-old-galway-10918293,0.0833333333333333,0.0277777777777777,0.0757689816715088,0.0138806957828438,5.0,0.0050362285694659,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
The Ditch,5,5,1.222,0,-0.0778,-0.13,Ukraine war and moral neutrality,Budget / Fiscal / Public Finances,Bottom,Rapid movement of NATO and EU soldiers across member states,https://www.ontheditch.com/eu-plans-for-the-rapid-movement-of-nato,0.1111111111111111,0.1111111111111111,0.0274020937891045,0.0,4.8,0.0020762460069924,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Clare FM,4,1,3.1905128973812418,212000,-0.45,-0.1625,Shannon Airport and US military use #3,Other Neutrality Debate,Mid,Clare FM - Neutrality,,0.0833333333333333,0.0,0.0820539428662097,0.0137458310256114,4.7,0.0054208589717231,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
The Neil Prendeville Show,4,1,2.825919434957882,328000,0.0,-0.1625,Defence capability and security gaps,Other Neutrality Debate,Bottom,The Neil Prendeville Show - Neutrality,,0.0833333333333333,0.0,0.0719317298447109,0.0212671347943422,4.5,0.0048013943886363,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Nationalist (Tipperary),3,3,2.3083689401493706,176196,-0.891,0.4333333333333333,Defence capability and security gaps,Other Neutrality Debate,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://nationalist.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0555555555555555,0.0555555555555555,0.0575629687511544,0.0114243417140973,4.4,0.0039220472951313,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
The Irish Farmers Journal,2,2,2.066644531547884,839254,0.3335,0.175,Ukraine war and moral neutrality,Budget / Fiscal / Public Finances,Top,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.0277777777777777,0.0277777777777777,0.0508519708629945,0.0544162437338137,4.4,0.0035113440724214,Media outlet,Reform / redefine,Media amplifier,Media outlet,Media outlet
Trinity News,3,3,2.3000253271457014,164577,-0.1109999999999999,-0.3333333333333333,Ukraine war and moral neutrality,Budget / Fiscal / Public Finances,Mid,Students rally around fuel protest demands in solidarity with striking workers – Trinity News,https://www.trinitynews.ie/2026/04/students-rally-around-fuel-protest-demands-in-solidarity-with-striking-workers,0.0555555555555555,0.0555555555555555,0.0573313249152207,0.010670979399538,4.4,0.0039078710322976,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Donegal Live,3,3,2.2984632486094907,161088,-0.8863333333333333,0.0,Defence capability and security gaps,Other Neutrality Debate,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://donegallive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0555555555555555,0.0555555555555555,0.0572879569085792,0.0104447567370457,4.4,0.0039052169739315,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
The Limerick Post,3,3,2.2411677040198112,189081,-0.6486666666666666,0.0,"NATO, EU security and defence cooperation #2",Other Neutrality Debate,Mid,Limerick women gather to share their pearls of wisdom,https://www.limerickpost.ie/2026/03/20/limerick-women-gather-to-share-their-pearls-of-wisdom,0.0555555555555555,0.0555555555555555,0.0556972599617258,0.0122597899818567,4.3,0.0038078686550503,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Tullamore Tribune,3,3,2.222854513591149,160203,-0.2863333333333333,0.0,"NATO, EU security and defence cooperation",Shannon / US Military / Anti-war,Mid,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://offalyexpress.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0555555555555555,0.0555555555555555,0.0551888306185608,0.0103873743763963,4.3,0.0037767535253426,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Image Magazine,2,2,2.059257244163212,766128,-0.3335,-0.325,"NATO, EU security and defence cooperation #2",Other Neutrality Debate,Top,How Ireland squandered the opportunity of the Michelin Awards in Dublin | IMAGE.ie,https://www.image.ie/living/how-ireland-squandered-the-opportunity-of-the-michelin-awards-in-dublin-981481,0.0277777777777777,0.0277777777777777,0.0506468775076127,0.0496748397735361,4.3,0.0034987926600361,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Laois Today,3,3,2.229070206917526,169473,0.1666666666666666,0.2166666666666666,"NATO, EU security and defence cooperation #2",Peacekeeping / Identity / Tradition,Mid,Laois Republicans gather to hold Easter 1916 commemoration with special guest - Laois Today,https://www.laoistoday.ie/2026/04/09/laois-republicans-gather-to-hold-easter-1916-commemoration-with-special-guest,0.0555555555555555,0.0555555555555555,0.0553613969929211,0.0109884302896389,4.3,0.0037873143342212,Media outlet,Reform / redefine,Media amplifier,Media outlet,Media outlet
Cork's RedFM,3,1,2.548073960676099,522000,-0.1666666666666666,-0.3333333333333333,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Cork's RedFM - Neutrality,,0.0555555555555555,0.0,0.0642179023420284,0.0338458669592886,4.2,0.0043293194651187,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Currency,2,2,1.873039811619064,776470,0.0,0.325,Ukraine war and moral neutrality,Budget / Fiscal / Public Finances,Top,Carbon-removal credits licensed by EU get Nasdaq backing - The Currency,https://thecurrency.news/articles/221759/carbon-removal-credits-licensed-by-eu-get-nasdaq-backing,0.0277777777777777,0.0277777777777777,0.0454769205149673,0.0503454029078138,4.1,0.0031823988787331,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
TheJournal.ie,2,2,1.9113803185701723,785380,-0.375,0.0,Shannon Airport and US military use,Other Neutrality Debate,Top,"At 91 years of age, with 220 km on the road, activist Lelia Doolan walks for Irish neutrality",https://www.thejournal.ie/film-maker-walks-to-highlight-threat-to-neutrality-7011481-Apr2026,0.0277777777777777,0.0277777777777777,0.0465413685062501,0.050923116843843,4.1,0.0032475415337768,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Daily Mirror (Ireland),2,2,1.9024055660362484,695296,-0.833,0.0,Defence capability and security gaps,Other Neutrality Debate,Top,91-year-old woman walks 220km to protest US military at Co Clare airport,https://www.irishmirror.ie/news/irish-news/91-year-old-woman-walks-37022409,0.0277777777777777,0.0277777777777777,0.0462922023353599,0.0450821760791676,4.0,0.0032322929297569,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Cork's 96 FM,3,1,2.429331474719936,375000,-0.4333333333333333,-0.2166666666666666,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mid,Cork's 96 FM - Neutrality,,0.0555555555555555,0.0,0.0609212531658154,0.02431455959719,3.8,0.0041275693731982,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Clare Live,4,4,1.0149999999999997,0,-0.5327500000000001,0.1625,Defence capability and security gaps,Other Neutrality Debate,Bottom,91-year-old woman walks 220km to protest over US military at Co Clare airport,https://www.clarelive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0833333333333333,0.0833333333333333,0.0216551501068911,0.0,3.7,0.0017245414869863,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Carlow Times,4,4,1.0149999999999997,0,-0.532,0.325,Defence capability and security gaps,Other Neutrality Debate,Bottom,91-year-old woman walks 220km to protest US military at Co Clare airport,https://www.carlowlive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html,0.0833333333333333,0.0833333333333333,0.0216551501068911,0.0,3.7,0.0017245414869863,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Northern Sound,3,1,2.377219867106896,234000,0.0,-0.2166666666666666,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Northern Sound - Neutrality,,0.0555555555555555,0.0,0.0594744779284156,0.0151722851886466,3.5,0.0040390288517379,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Ocean FM,3,1,2.328083067975229,150000,-0.25,-0.2166666666666666,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Ocean FM - Neutrality,,0.0555555555555555,0.0,0.0581102923374305,0.009725823838876,3.3,0.0039555426954421,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Deise Today,3,1,2.04207369663776,195000,-0.1666666666666666,0.0,Defence capability and security gaps,Other Neutrality Debate,Bottom,Deise Today - Neutrality,,0.0555555555555555,0.0,0.0501698104550068,0.0126435709905388,3.0,0.003469596856488,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
FM104,2,1,1.671202649725527,504000,-0.8285,0.325,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mid,FM104 - Neutrality,,0.0277777777777777,0.0,0.0398733127740014,0.0326787680986234,2.8,0.0028394663079932,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
eolas Magazine,2,2,1.5670045620537367,123134,-0.25,0.325,Defence capability and security gaps,Other Neutrality Debate,Mid,100 years of Fianna Fáil | Eolas Magazine,https://www.eolasmagazine.ie/100-years-of-fianna-fail,0.0277777777777777,0.0277777777777777,0.0369804599158172,0.0079838639505077,2.6,0.0026624279581857,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Galway Advertiser,2,2,1.5660590723694403,121638,0.25,0.325,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mid,Ireland's role in an uncertain world,https://advertiser.ie/galway/article/149839/irelands-role-in-an-uncertain-world,0.0277777777777777,0.0277777777777777,0.0369542102734609,0.0078868650674213,2.6,0.0026608215185935,Media outlet,Reform / redefine,Media amplifier,Media outlet,Media outlet
Derry Post,2,2,1.3250656835212695,219786,0.0,0.0,Sinn Féin and government neutrality clash #2,Other Neutrality Debate,Bottom,Business rates revaluation U-turn urged as firms ‘close doors’ over costs,https://derrynow.com/news/northern-ireland/2000275/business-rates-revaluation-u-turn-urged-as-firms-close-doors-over-costs.html,0.0277777777777777,0.0277777777777777,0.0302635076961846,0.0142506661216747,2.5,0.0022513603391274,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Munster Express,2,2,1.485206152992748,111700,-0.2915,0.5,"NATO, EU security and defence cooperation #2",Triple Lock / UN Mandate,Mid,Dr Morgan McMonagle to lead St. Patrick's Day Parade Esteemed Humanitarian and Surgeon announced as Grand Marshall of Waterford’s 2026 Parade - The Munster Express,https://www.munster-express.ie/dr-morgan-mcmonagle-to-lead-st-patricks-day-parade-esteemed-humanitarian-and-surgeon-announced-as-grand-marshall-of-waterfords-2026-parade,0.0277777777777777,0.0277777777777777,0.0347094896251498,0.007242496818683,2.5,0.0025234479089294,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Dublin InQuirer,2,2,1.4860611473735652,113004,-0.3335,0.0,Defence capability and security gaps,Other Neutrality Debate,Mid,Dublin city councillors back motion condeming US/Israel attack on Iran,https://www.dublininquirer.com/dublin-city-councillors-back-motion-condeming-us-israel-attack-on-iran,0.0277777777777777,0.0277777777777777,0.0347332268452231,0.0073270466472556,2.5,0.0025249005919647,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Ireland Live,2,2,1.48475367487887,111016,0.295,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,Mid,Ireland and UK enhance defence co-operation,https://www.ireland-live.ie/news/ireland/2038224/ireland-and-uk-enhance-defence-co-operation.html,0.0277777777777777,0.0277777777777777,0.0346969274694112,0.0071981470619777,2.5,0.0025226791234325,Media outlet,Reform / redefine,Media amplifier,Media outlet,Media outlet
Irish Star,3,3,0.705,0,-0.4666666666666666,0.2166666666666666,Ukraine war and moral neutrality,Shannon / US Military / Anti-war,Bottom,Furious 91-year-old walks 137 miles to protest against the US military,https://www.irishstar.com/news/ireland-news/91-year-old-woman-walks-37023607,0.0555555555555555,0.0555555555555555,0.0130486160900497,0.0,2.4,0.0011978342348033,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Q102,2,1,1.8419739287432293,184000,-0.75,0.65,Sinn Féin and government neutrality clash,Other Neutrality Debate,Top,Q102 - Neutrality,,0.0277777777777777,0.0,0.0446144380061477,0.0119303439090212,2.4,0.0031296162148423,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Highland Radio,2,1,1.6215087152259031,90000,0.0,-0.325,Defence capability and security gaps,Other Neutrality Debate,Mid,Highland Radio - Neutrality,,0.0277777777777777,0.0,0.0384936594265765,0.0058354943033256,2.0,0.0027550335477014,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
University Observer,2,1,1.569281119218328,126812,0.0,0.0,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,University Observer,https://universityobserver.ie/verdis-meet-the-teen-who-founded-his-own-country,0.0277777777777777,0.0,0.0370436640018764,0.0082223411510369,2.0,0.0026662959555038,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Town Talk,2,1,1.429451587646432,130000,-0.4,0.0,Sinn Féin and government neutrality clash #2,Other Neutrality Debate,Bottom,Town Talk - Neutrality,,0.0277777777777777,0.0,0.0331615749049973,0.0084290473270258,1.9,0.0024287177995416,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Sun (Ireland),1,1,0.939448950117718,420369,0.0,0.0,Sinn Féin and government neutrality clash,Other Neutrality Debate,Top,Drogheda United tell Byrne to resign as Sinn Fein TD refuses to step down,https://www.thesun.ie/sport/16700284/drogheda-united-joanna-byrne-sinn-fein-td-resign,0.0,0.0,0.0195576253300526,0.0272562322754965,1.5,0.0015961760486539,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Banbridge Leader,1,1,0.7660141377500489,105454,0.0,0.0,Sinn Féin and government neutrality clash #2,Other Neutrality Debate,Mid,"September 11, 2011",https://www.northernirelandworld.com/archive/2011-09-11,0.0,0.0,0.0147425523869983,0.0068375135140322,0.8,0.0013015006504118,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Niall Boylan Show,1,1,0.7517629072569305,70000,0.0,0.0,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Bottom,The Niall Boylan Show - Neutrality,,0.0,0.0,0.0143468952901567,0.0045387177914754,0.7,0.0012772870166916,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Midwest Radio,1,1,0.7884208247790276,70000,-0.5,-0.65,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Midwest Radio - Neutrality,,0.0,0.0,0.0153646295293196,0.0045387177914754,0.7,0.0013395708586555,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Irish Farmers Monthly (IFM),1,1,0.8165187901203504,55377,0.0,-0.65,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,No easy decisions ahead for Government,https://irishfarmersmonthly.com/opinion-mobile/matt-o-keeffe/no-easy-decisions-ahead-for-government,0.0,0.0,0.0161447137051716,0.0035905796448362,0.7,0.0013873108654841,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Anglo Celt,1,1,0.7472825319893692,63416,0.0,0.0,Defence capability and security gaps,Other Neutrality Debate,Mid,"LIVE: Fuel Protests, as it happens | Anglo Celt",https://www.anglocelt.ie/2026/04/09/live-fuel-protests-as-it-happens,0.0,0.0,0.0142225065735487,0.0041118189637744,0.7,0.0012696746097693,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
South East Radio,1,1,0.7933391462033385,80000,-0.75,-0.65,Triple Lock and UN mandate debate,Other Neutrality Debate,Mid,South East Radio - Neutrality,,0.0,0.0,0.0155011769507522,0.0051871060474005,0.7,0.0013479273604709,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Radio Kerry,1,1,0.794695105640161,83000,-0.5,-0.65,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Radio Kerry - Neutrality,,0.0,0.0,0.0155388224701666,0.005381622524178,0.7,0.0013502312110162,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Connacht (Connaught) Tribune,1,1,0.7842819732227284,62560,-0.667,0.0,Triple Lock and UN mandate debate,Other Neutrality Debate,Mid,Public meeting on neutrality in Galway,https://connachttribune.ie/news/public-meeting-on-neutrality-in-galway-8114409,0.0,0.0,0.0152497225399327,0.0040563169290672,0.7,0.0013325387195252,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
New Ross Standard,1,1,0.7473707093884694,63568,0.0,0.0,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Mid,Women overtake men as single female house buyers are on the rise,https://independent.ie/irish-news/women-overtake-men-as-single-female-house-buyers-are-on-the-rise/a1509685684.html,0.0,0.0,0.0142249546438225,0.0041216744652644,0.7,0.0012698244280776,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Nenagh Guardian,1,1,0.7796031023070572,55097,-0.833,0.65,Shannon Airport and US military use,Shannon / US Military / Anti-war,Mid,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh,0.0,0.0,0.0151198229860742,0.0035724247736703,0.7,0.00132458905745,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
College Tribune,1,1,0.7470623291139693,63038,-0.75,0.0,Ukraine war and moral neutrality,Public Consent / Referendum,Mid,“We Need to Fight”: Tia Cullen’s Vision for a Stronger SU,https://www.collegetribune.ie/we-need-to-fight-tia-cullens-vision-for-a-stronger-su,0.0,0.0,0.0142163930782657,0.0040873098877004,0.7,0.0012693004728292,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Laois People,1,1,0.7824552494611079,59533,-0.917,0.65,Shannon Airport and US military use,Shannon / US Military / Anti-war,Mid,Local TD joins Leila Doolan on her Neutrality march from Shannon Airport to Dublin - Laois People,https://www.laoispeople.ie/local-td-joins-leila-doolan-on-neutrality-march-through-laois,0.0,0.0,0.015199007184469,0.0038600498039987,0.7,0.001329435014193,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Irish Marketing Journal,1,1,0.8218898546193859,63227,0.0,0.65,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Opinion: Why Trust is the Central Issue in Journalism Today,https://www.adworld.ie/2026/03/06/opinion-why-trust-is-the-central-issue-in-journalism-today,0.0,0.0,0.0162938306384542,0.0040995644257374,0.7,0.0013964366029796,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
BallinEurope,1,1,0.7414570432253949,54139,0.0,0.0,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Forza Achi,https://www.ballineurope.com/forza-achi-8618/#comments,0.0,0.0,0.0140607734535104,0.0035103091787527,0.6,0.001259776780158,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Business & Finance,1,1,0.7405729711698419,52855,0.0,0.65,Ukraine war and moral neutrality,Other Neutrality Debate,Mid,Insights from Ireland Day 2026,https://businessandfinance.com/news/insights-from-ireland-day-2026,0.0,0.0,0.0140362289495767,0.0034270561266919,0.6,0.0012582746925351,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Tuam Herald,1,1,0.7438193175805623,57725,0.0,0.0,Defence capability and security gaps,Other Neutrality Debate,Mid,"LIVE: Fuel Protests, as it happens | Tuam Herald",https://www.tuamindependent.ie/2026/04/09/live-fuel-protests-as-it-happens,0.0,0.0,0.0141263573070423,0.0037428212073274,0.6,0.0012637904157532,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Medical Independent,1,1,0.7449360650239087,59502,0.0,0.0,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Mid,The concerning rise of ‘healthocide’ - Medical Independent,https://www.medicalindependent.ie/in-the-news/news-features/the-concerning-rise-of-healthocide,0.0,0.0,0.0141573615807822,0.0038580398004053,0.6,0.0012656878318089,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Morning Focus,1,1,0.7404912651510649,53000,0.0,0.65,Ukraine war and moral neutrality,Peacekeeping / Identity / Tradition,Bottom,Morning Focus - Neutrality,,0.0,0.0,0.0140339605443187,0.0034364577564028,0.6,0.001258135869462,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Donegal Daily,1,1,0.7411701895610137,53719,-0.625,0.35,Referendum and constitutional protection,Public Consent / Referendum,Mid,Annual Drumboe commemoration told Govt blocking Irish unity referendum - Donegal Daily,https://www.donegaldaily.com/2026/04/05/annual-drumboe-commemoration-told-irish-govt-blocking-irish-unity-2,0.0,0.0,0.0140528095315093,0.0034830768720038,0.6,0.0012592893998182,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Herfamily.ie,1,1,0.7427150195593843,56020,-0.5,0.0,Ukraine war and moral neutrality,Peacekeeping / Identity / Tradition,Mid,Ireland named one of the safest countries to be in if WW3 kicks off,https://herfamily.ie/news/worlds-safest-countries-revealed-amid-ww3-fears-as-raf-base-hit-by-iran-461280,0.0,0.0,0.0140956986667713,0.0036322710096922,0.6,0.0012619141519586,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Extra.ie,1,1,0.7448753516409954,59404,-0.909,0.0,Shannon Airport and US military use,Shannon / US Military / Anti-war,Mid,"Lelia Doolan, 91, walks from Shannon Airport to Leinster House",https://extra.ie/2026/04/15/news/irish-news/shannon-airport-lelia-doolan,0.0,0.0,0.0141556759943457,0.0038516855954972,0.6,0.0012655846763925,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Farmview,1,1,0.6806912322125866,65000,-0.5,0.0,Triple Lock and UN mandate debate,Other Neutrality Debate,Bottom,Farmview - Neutrality,,0.0,0.0,0.0123737314549856,0.0042145236635129,0.6,0.001156532285496,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
Dundalk FM,1,1,0.6981912322125866,65000,0.0,0.0,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Low,Dundalk FM - Neutrality,,0.0,0.0,0.0128595841817428,0.0042145236635129,0.6,0.0011862657594095,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
