Outlet,total_articles,publication_owned_count,single_actor_reported_count,multi_actor_reported_count,multi_actor_contested_reported_count,factual_low_opinion_count,unclear_count,publication_owned_pct,actor_mediated_pct,contested_or_multi_actor_pct,factual_low_opinion_pct,unclear_pct,preserve_side_pct,reform_side_pct,move_away_side_pct,mixed_unclear_side_pct,viewpoint_spread_score,one_sided_amplification_risk,top_reported_actors,top_frames
Farmview,1,0,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,low_sample,Fianna Fáil,Other Neutrality Debate
Laois People,1,0,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,low_sample,Lelia Doolan,Shannon / US Military / Anti-war
Midwest Radio,1,0,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,low_sample,UN Security Council,Other Neutrality Debate
Radio Kerry,1,0,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,low_sample,Micheál Martin,Other Neutrality Debate
South East Radio,1,0,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,low_sample,Cabinet,Other Neutrality Debate
BBC World Service,1,0,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
BallinEurope,1,0,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
Banbridge Leader,1,0,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
Business & Finance,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
Dundalk Leader,1,0,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Ukraine / Russia / Moral Responsibility
Herfamily.ie,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,low_sample,,Peacekeeping / Identity / Tradition
Irish Farmers Monthly (IFM),1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
Irish Marketing Journal,1,1,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
Morning Focus,1,1,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Peacekeeping / Identity / Tradition
Roscommon People,1,0,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
The Current Affairs Show,1,0,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Other Neutrality Debate
The Niall Boylan Show,1,1,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,low_sample,,Ukraine / Russia / Moral Responsibility
